127.0.0.1 - - [14/May/2023:10:03:14 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/May/2023:10:03:14 +0900] "GET /test01/innerscc.html HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [14/May/2023:10:03:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/May/2023:10:06:02 +0900] "GET /test01/innerscc.html HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [14/May/2023:10:06:02 +0900] "GET /test01/testcss.css HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [14/May/2023:10:06:04 +0900] "GET /test01/innerscc.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2023:10:06:04 +0900] "GET /test01/innerscc.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2023:10:06:04 +0900] "GET /test01/innerscc.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2023:10:07:27 +0900] "GET /test01/innersc.html HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [14/May/2023:10:07:51 +0900] "GET /test01/innersc.html HTTP/1.1" 200 213
